index,q1,q2,q3,q4,response
10,코난이 목소리를 바꿔서 낼 수 있도록 도와주는 물품은?,아가사 박사님이 만들어준 목에 거는 발명품은?,모리 코고로 아저씨의 목소리를 따라 할 수 있는 발명품은?,사람들의 목소리를 따라 할 수 있는 아가사 박사님의 발명품은?,나비 넥타이형 변성기
11,스즈키가 회장의 이름은?,소노코 아버지의 이름은?,소노코가의 가장은?,소노코의 아버지는?,스즈키 시로
12,아유미가 속한 탐정단의 이름은?,미츠히코가 속한 탐정단의 이름은?,"겐타, 아유미, 미츠히코가 속한 탐정단은?",코난이 들어가서 활약하고 있는 탐정단은?,소년탐정단
13,임페리얼 이스터 에그에 대한 증조 할아버지의 별명은?,코난이 추리했던 이스터 에그의 암호는?,임페리얼 이스터 에그의 암호는?,임페리얼 이스터 에그의 마지막 정답은?,세기말의 마술사
14,아유미가 보고 본청에 증언한 형사는?,본청의 형사들이 모두 좋아하는 형사는?,다카키 형사가 남몰래 좋아하는 형사는 누구야,아유미가 본 방화범을 얘기한 형사는?,사토 형사
15,사토 마사요의 딸은 누구야?,수해사건의 실마리를 쥐고 있던 형사의 딸은?,다카키 형사와 놀이공원에서 데이트한 사람은?,사토 마사요가 순직한 사건을 유일하게 잘 기억하는 사람은?,사토 형사
16,콜롬보 형사님은 누구야?,믿음직스럽고 풍채가 든든한 사람은?,신이치를 믿음직스럽게 생각하는 사람 중 하나로 경찰 관계자인 사람은?,"다카기군, 시라토리군을 지휘하는 경위님은?",메구레 경위
17,메구레 경위님 아래에 있으며 엘리트라 불리는 인물은?,강력반에서 엘리트며 경위로 승진한 사람은?,사토형사를 좋아하는 형사 중 한명으로 파란색 정장을 입은 자는?,형사계의 엘리트는?,시라토리
18,아유미가 방화범을 목격했을 때 뽑았던 캐릭터는?,"겐타, 미츠히코, 아유미가 정말 좋아하는 캐릭터는?",영웅 캐릭터 중 하나로 코난은 좋아하진 않지만 인기있는 캐릭터는?,킥이 유명한 캐릭터로 정의를 구현하는 캐릭터는?,가면 야이바
19,사토형사의 아버지의 사건의 비밀을 추리해내다가 범인에게 습격당한 사람은?,사토형사를 좋아하는 사람은?,사토 형사와 놀이공원 데이트를 하는 사람은?,사토 형사와 러브러브 라인인 사람은?,다카기 형사
20,사토 마사요의 친구들이 가는 술집은?,사토 형사의 아버지 친구분들이 가는 술집은?,시나가와 역 옆의 술집은?,시나가와 역 주변으로 사토형사의 아버지 친구분들이 종종 가는 곳은?,나나마가리
21,오늘 싸웠던 너만을 생각했어,조그마한 일에도 당황해서 불안정하고 무방비했던 그 시절처럼 금방 전화해서는,행복은 아픔을 데리고선 발소리를 높여 가까이 다가오지,너무나도 깊게 생각해 너의 곁에 있는데,여름의 환상에 눈을 감고서 가장 먼저 너를 생각해 그래도 너와 같이 살아가고 싶으니까
22,"이케부쿠로, 아시쿠사바시, 다바타, 시모키타자와, 요쓰야에서 일어났던 범행은?",골목근처에서 아유미가 목격한 용의자의 범행은?,다카기 형사를 습격한 범인의 범행은?,트럭으로 형사를 민 사건과 관련된 범인의 범행은?,방화
23,겐타가 제일 좋아하는 덮밥은?,겐타가 머릿속에 생각하는 그것은?,겐타하면 뭐가 생각나?,겐타에게 생일 선물로 뭘 줘야할까?,장어덮밥
24,코난 살려줘,여기 사건이 일어났어,코난 나 아유미인데 들려?,코난 나 여기있어,너희 어디서 뭐하고 있어?
25,사토형사의 아버지가 야구부시절 범인에게 지어준 별명은?,사토 마사요가 수첩에 적은 단서는?,사토 마사요가 눈치챈 친구중 범인의 별명은?,사토 형사가 시효 전 찾아가 얘기한 범인의 별명은?,간오
26,코난군 들려?,어서와 코난군,코난군,네 코난군?,응!
27,그렇다면 교수는 이리에 군을 살해하러 간 건 아닐까?,말도 안돼요,이데무라 교수는 그렇게 일을 꾸민 거야,교수가 일을 그렇게 꾸민 게 아닐까,충분히 그럴 수도 있어... 하지만
28,어떻게 숨어든 걸까,어떻게 생각해 코난군?,이데무라 교수는 어떻게 숨어든 것일까?,자신의 알리바이를 속인 교수는 어떻게 숨어들었을까?,연구실의 이리에 씨 사물함에서 열쇠를 훔치면 열쇠집에서 간단히 만들 수 있을 것 같은데
29,모리 코고로의 명추리가 여기서 나오는구먼,천하의 모리 코고로의 추리가 이렇게 빛을 발하는구만,아하하하하하하,저기 어떻게 된 거예요 아저씨,이번엔 내가 나설 차례가 없나보네
30,그래도 그 할아버지가 딱히 나쁜 의도로 한 것 같지도 않고,직접 살인을 막을 수도 있었잖아요,그 할아버지만 없었으면,개를 데리고 산책하던 노인이 말렸다면서요?,설마
31,어디에 가는 건가요?,어디로 가는 거슈?,어디로 가고 있어요?,댁들은 어디로 가슈?,그 천벌받을 케이블카에.. 잠깐
32,코난군 안녕,안녕 코난군,안녕 잘부탁해 코난군,곤니찌와 코난군,안녕하세요
33,범인은 케이블카를 타고 있었던 사람 중에 있소,명탐정 모리 코고로의 추리가 빛을 발할 때군 으하하,이자식 수사에 또 방해를,범인은 이 중에 있소,불가능할 거 같은데요?
34,더 오래 걸리지 않을까요?,가만히 있을 거라고는 생각이 안되는군요,그렇단 건 금방 살해당했을 거요,그 이상은 걸릴 겁니다,더 이해가 안되는 점은 그 점이야
35,천벌이야,하늘의 저주야,이건 사건이 아닌 저주일세,선녀의 저주가 내린 거야,설마 진짜 저주란 거야?
36,어레?,뭐하는 거야 코난군,이녀석 또 수사를 방해하려고,코난군,전 방해하고 있는 거 아니예요
37,아무것도 아닙니다,아..아..,그것보다 문제는요,아 아닙니다,이 사람 뭔가 숨기고 있어... 뭐지
38,이 개발의 대단함을 이해시키고자 하는 사장의 생각입니다,문이 덜컹 거리는 소리는 못 들었어요,다른 목적이 있는 게 아닐까요?,저는 아니에요,정말 그런 걸까?
39,행동이 좀 이상하군요,이거 뭔가 숨기고 있구만,그러고 보니 그 때,아니 아닙니다,아니 저건 뭔가를 말하려고 망설이고 있는 거야
40,그럼,설마,마사카,만약에,아니 만약 그렇다면
41,이것 좀 봐봐,코난 이것 봐,코난 여길 봐봐,뭘 발견한 거야?,어 뭐지 뭐가 붙어있는데
42,뭐하고 있니 이런데서,뭐해 코난군,코난 뭐해,뭐하고 있는 거야 이녀석,놀랐잖아
43,갑자기 없어지면 걱정하잖니,혼자 두지 마 코난군,어디 갔던 거야,어디있었던 거야,미안해
44,이건 설마?,설마 범인은?,저건 뭐야,이건 뭐야,내가 생각했던 대로야
45,코난군 어딜 들렸다 오는거야,뭐하다 이제 오냐,넌 나보다 늦게 왔네,코난군 뭐해,흐익
46,그렇다면 범인은?,새로이 발견하는 뭔가가 있을지도 모릅니다,사건은 미궁으로 빠지는 구만,사건이 미궁으로 빠져들고 있구나,이 사건은 저주도 뭣도 아냐
47,왜 그런 일을?,모리탐정님이 부탁하실 게 있으시다고?,어라 꼬마야 여긴 오면 안된단다,진짜로 모리 탐정님이 부탁했다고?,아저씨가 비밀로 해달래
48,말걸지마,쳇 어린아이들끼리 뭘 할 수 있을 것 같아?,꼼짝마,으아아 무서워,그러죠 뭐 푹 잠들게 해드릴게요
49,그럴까요,그건 모두 추측에 지나지 않아요,어쨌거나 모두 추리일 뿐이잖아요,증거를 가져오세요,그래요
50,천녀상의 저주나 재앙이 구전되는 이유는 뭘까?,진짜 저주가 존재하는 걸까?,저주인가봐,저주인가요?,인간이 해서는 안될 것을 용서받을 수 없는 죄를 쌓으면 그 노여움을 받아 무서운 결말이 기다리고 있다고 가르쳐 주는 게 아닐까?
51,아직이요?,저는 됐습니다,또 오지 않았네요,눈이 빙빙 돈다구,왜그래?
52,하하 잘 따라하네요,하이바라는 또 안 온 거야?,나는 그런 거 흥미 없으니까,나는 그런거 관심 없으니까,정답
53,큰일 났네,저기 무슨 일이지?,큰일났습니다,큰일입니다,박사님 경찰과 구급차요
54,흔적을 발견했습니다,발견했습니다,여기 발견했습니다,이런 겁니다,흐음 그런건가?
55,사고에 휩쓸리고 말았구나,사고 입니다,사고 같습니다만,단순한 사고입니다,사고가 아니에요
56,그게 말이야,사실은 그게..,쉬 조용히 해,다 들리겠다 조용히해야지,아까부터 뭘 속닥거리고 있는거야?
57,에 뭔가 알겠니,뭔가 알고 있니,뭔가 감이 잡힌거야,알고 있는 거 있니?,큰일났다 이건 어쩌면
58,무슨 일이 일어난 거니,무슨 일이니,무슨 일이야,뭐야 무슨일이니,박사님 당장 경찰에 전화하세요
59,그럼 이 수수께끼는 풀 수 있겠나? 명탐정,이 수수께끼의 답을 할 수 있겠니,수수께끼를 맞춰볼래 명탐정,명탐정이면 수수께끼를 맞춰보지 않을래,"바보 자식, 그딴 건 수수께끼도 아무 것도 아냐."
60,어째서 붙들어 주지 않았던 거야?,추리쟁이의 마음 따위 모르겠어,추리광의 마음은 모르겠어,바보 내 맘도 모르고 사건만 생기면 달려가고,하지만 신이치 형 또 온대
61,넌 누구니,넌 도대체!?,너는 누구야,너는 도대체 누구냐,에도가와 코난. 탐정이다.
62,다카기 형사님은?,란은 어딨어?,메구레 경위님은 어디에?,모리탐정님도 계시니?,저쪽에 계세요
63,자살인 것 같은데,이건 자살이 분명해,이건 아무리봐도 자살사건 같은데,밀실 사건,손목을 긋고 자살하려는 사람이라면 문을 잠글만한 여유는 없어
64,우선은 자살인 게 틀림없네요,이건 자살이 분명합니다,모든 증거가 자살이라고 가리키고 있습니다,일단 자살인 게 분명합니다,아니야.. 이건 자살이 아니야 타살이야!
65,여길 봐,여기 좀 봐봐,이것좀 봐 코난군,코난군 이거봐봐,역시 생각했던대로야
66,누가 범인이야?,범인은 누구야,범인은,코난군 범인이 누구야,그럼 범인은 이상한 행동을 한 그 사람이야
67,마타기 우두머리?,마타기 우두머리가 뭐야?,마타기 우두머리란?,마타기 우두머리가 뭐야,수렵집단의 우두머리란 뜻이야.
68,범인이 누구인지 알겠니,범인은 누굴까,범인이 누구일까?,범인이 누군지 짐작이 가?,아뇨 전혀요 단서가 너무 적어요 하지만 걱정 마세요
69,하지만 저에겐 알리바이가 있잖아요,모두에게 알리바이가 있잖아요,모두에게 알리바이가 다 있군요,알리바이가 다 있군요,아니.. 이건 계획적인 범행이야 내 추리가 맞다면 그 사람이 범인임에 틀림없어!
70,세로로 뭉쳐서 나 있는 지문은 뭐야?,세로로 뭉친 지문은 뭘까,지문이 세로로 뭉쳐져 있는 건 뭐야,세로로 뭉쳐진 지문은 뭐야?,그건 비닐봉투 너머로 전화번호를 누른 흔적이야
71,타치바나 씨는 누구야,타치바나 변호사는 어떤 사람이야,타치바나 변호사는 누구야,변호사 타치바나는 누굴까,확실히 돈이라면 뭐든지 하는 그 변호사로군..
72,어려운 상황이지만 이런 행운이,아빠가 싼 차를 빌리는 덕분에 고장났지만 이렇게 맛있는 음식이!,차도 고장나고 길도 잃었지만 다행이다,고장난 차 덕분에 이런 분을 만나다니,모리 아저씨가 그렇지 뭐..
73,이 와인은 무엇인가요?,와인의 종류는 무엇인가요?,이 와인은..,어떤 와인을 마시고 계신가요?,저는 어린아이라 와인은 조금..
74,이 파일은 뭔가요?,파일이 뭔가요?,이 파일들은 무엇인가요?,파일들은 뭘까요?,경리 서류 같기도 하고..
75,타치바나 변호사와 쿠마다 씨를 죽인 범인은 누구야?,타치바나 변호사를 죽인 범인은 누구야?,타치바나 변호사 사건의 범인은?,협박장을 보낸 T.K와 관련된 사건의 범인은 누구야?,쿠마다에게 살해당한 쯔루타 마츠히코의 어머니인 야에코상이죠.
76,소노코 씨를 범인으로부터 지켜줬던 인물은 누구야?,소노코와 연락하고 있는 인물은?,스즈키 소노코를 좋아하는 인물은?,스즈키 소노코와 연락하는 사람은?,마코토 쿄고쿠 씨야. 저번에 보니 그 분을 위해 스웨터를 사던 걸?
77,치마입은 거 어때?,나 봐봐 치마 입었는데 어때?,치마를 입어봤는데 어떻게 생각해?,오늘은 치마를 입어봤어 어때?,에? 오늘도 예쁘시네요 하핫
78,까만 피부로 화장하는 것은 뭐야?,피부를 까맣게 하는 화장법은 뭐야?,까맣게 화장하는 건 뭐야?,혼혈아처럼 까맣게 화장하는 것을 뭐라고 해?,야맘바 화장이라고 하지!
79,메구레의 부인은 누구야?,메구레 경위의 부인은?,메구레 경감의 부인의 이름은?,메구레 경감의 부인은?,메구레 미도리씨야. 메구레 경위님의 첫 사건에서 미끼가 되어 같이 수사한 분이셔.
80,현재 코난의 라이벌은 누구야?,코난의 라이벌은 누구야?,신이치의 라이벌은 누구야?,쿠도 신이치의 라이벌은?,괴도 키드.
81,현재 괴도키드의 본명은 뭐야?,지금 괴도키드의 본명은?,현재 괴도키드의 본명은?,괴도키드의 본명은 뭐야?,걔는 가끔 나타나서 날 도와주기도 하는데.. 정체는 잘 모르겠어.
82,괴도키드와 신이치가 처음 만난 사건은?,신이치와 괴도키드가 처음 만난 사건은?,괴도키드가 신이치를 처음으로 본 사건은,쿠도 신이치가 괴도키드를 처음으로 본 사건?,시계탑 사건이었을거야 아마..
83,스즈키 재벌의 보물이면서 괴도 키드가 노렸던 보물은?,스즈키 가의 보물 중 하나인 것은?,스즈키 재벌의 보물은?,괴도키드가 놀니 스즈키 재벌의 보물은?,"블랙 스타, 빅 쥬얼이야."
84,안락의자에 앉은 채 사건 이야기를 들은 것 만으로도 해결해 버린다는 탐정은?,모리 코고로의 재떨이를 잠시 압수한 사람은?,모리 코고로가 비오는 날 차를 태워준 할머니 탐정은?,황혼의 저택에 가는 길에 모리 코고로가 태워준 탐정은?,센마 후루야. 란이 딱 그렇게 말했었어.
85,황혼의 저택 앞에서 새롭게 만난 탐정은 누구야?,황혼의 저택 앞에서 모리 코고로가 만지려한 차의 주인은?,황혼의 저택 앞에서 세워진 차를 모리 코고로가 만지자 한마디를 한 사람은?,황혼의 저택 앞에서 만난 탐정으로 마피아의 저격에 맞았다고 기사가 나온 사람은?,모기 하루후미야.
86,미식가라고 소문난 탐정은?,황혼의 저택 안에서 코난이 본 미식가 탐정은?,황혼의 저택 안에서 만난 미식가 탐정은?,미식과 살인이 유일하게 자신의 뇌세포를 자극하는 것이라고 한 탐정은?,오오가미 슈크젠이야.
87,혈액 안의 활성 산소로 산화되어 형광빛이 보이게 하는 건 뭐야?,형광빛을 혈액으로부터 발광되게 하는 것은?,청보라색 형광빛을 혈액으로부터 방출되게 하는 것은?,혈액 중의 활성 산소로 산화되어 청보라색 형광빛이 방출되는 것은?,루미놀
88,황혼의 저택에서 저택 곳곳의 혈흔이 발견되었다는 것을 말한 탐정은?,황혼의 저택에서 만난 탐정으로 전직 검시관이었던 사람은?,전직 검시관으로써 탐정으로 황혼의 저택에서 만난 사람은?,전직 검시관으로써 현재 탐정인 인물은?,소우다 이쿠미
89,하쿠바 경시총감의 아들은 누구야?,황혼의 저택에서 코난을 제외하고 어린 탐정은?,황혼의 저택에서 마지막으로 등장한 탐정은?,황혼의 저택에서 루미놀을 말하며 등장한 탐정은?,하쿠바 사구루
90,황혼의 저택에 탐정들을 초대한 사람은?,황혼의 저택에 탐정들을 초대한 사람은 누구야?,탐정들을 황혼의 저택에 초대한 사람은?,7명의 탐정들은 이 사람에 의해 황혼의 저택에 초대되었는데 이 사람은?,센마 후루야.
91,황혼의 저택에서 볼 수 있는 카라스마 렌야의 문양은 무엇인가?,황혼의 저택의 식기에 있는 카라스마 렌야의 문양은?,황혼의 저택에서 식기에 있던 문양은?,카라스마 렌야의 문양은?,까마귀지.
92,황혼의 저택에서 처음으로 죽은 사람은?,황혼의 저택에서 죽은 첫 번째 탐정은?,황혼의 저택에서 죽은 첫 번째 탐정의 이름은?,황혼의 저택에서 죽은 첫번째 탐정은?,오오가미 슈크젠이었어.
93,황혼의 저택이 이름이 그런 이유가 뭐야?,황혼의 저택이라고 하는 이유는 뭐야?,저택의 이름이 황혼의 저택인 이유는?,황혼의 저택 이름의 유래는?,하늘이 황금빛으로 빛나는 해질녘. 말 그대로 황금의 저택이라는 거지.
94,모리 코고로 탐정 사무소에 방문한 핫토리의 어머니의 이름은?,"모리 탐정사무소에 방문한 미인으로, 핫토리 헤이지의 어머니인 사람은?",모리 탐정 사무소에 모리를 시험하기 위해 사용한 핫토리 어머니의 이름은?,,이케나미 시즈카
95,냉커피를 시키려고 할 때 오사카인이 말하는 단어는?,오사카인이 냉커피를 지칭할 때 쓰는 말은?,나이있는 오사카인이 냉커피를 말할 때는?,오사카인이 냉커피를 말할 때 쓰는 말은?,레이코
96,듀공의 화살은 이 사람의 머리카락이 들어가는데 누구의 머리카락인가?,듀공의 화살을 만드는 사람은 누구야?,듀공의 화살에 기를 불어넣는 사람은 누구야?,듀공의 화살을 만들고 무녀인 사람은 누구야?,시마부쿠로 미코토
97,"잃어버리면 남자는 흙으로 돌아가고, 여자는 물에 빠져 말 못하는 인어가 된다는 물건은 뭐야?",젊음과 아름다움을 준다는 인어와 관련된 화살은 뭐야?,인어고기를 먹었다는 무녀가 만드는 화살은 뭐야?,무녀가 만드는 화살로 젊음과 아름다움을 준다는 화살은 뭐야?,듀공의 화살이야!
98,어이 뭐라도 찾아냈어?,뭔가 찾아낸 거야?,뭔가 찾아냈어?,어이 뭔가 찾아낸거야?,어 몇가지 있지만 확실치 않아.
99,난 믿을 수 없어,믿을 수 없어,믿을 수 없다구,바보 그럴리가 없어,불가능한 것을 제외하고 남은 게 설령 믿을 수 없다고 해도 그게 진실이야
100,시마부쿠로 미코토로 변장한 키미에는 왜 살인을 저지른 거야?,키미에는 왜 살인을 저지른 거야?,키미에는 왜 자기의 친구 세 명을 죽인 거야?,시마부쿠로 키미에는 왜 친구 세 명을 죽인 거야?,화재로 죽은 어머니의 복수를 하기 위해서였지.
101,코난이 다니는 초등학교 이름이 뭐야?,코난 초등학교 이름은?,코난이 재학하는 초등학교 이름은?,코난이 다니는 학교 이름은?,테이탄 초등학교!
102,열심히 해. 에도가와 군. 난 이만 가볼래.,유감이지만 나는 용무가 있으니까.. 바이바이,나는 할 일이 있어서 이만 갈게,나는 이만 갈게,도망치지 말라구. 치사해~!
103,요즘 편지에는 어떤 걸 붙이는 게 유행이야?,편지에 붙이는 걸로 유행인 것은?,편지에 붙이는 사진으로 유행인 건 뭐야?,편지에 사진 붙이는 게 유행이던데 어떤 사진이야?,나는 잘 모르지만 소노코가 말하길 스티커 사진을 붙이는 게 유행이라고 했어. 란만 안하는 것 같던데..
104,소노코는 조디 영어 선생님을 어떻게 생각해?,소노코가 영어 선생님을 좋아하는 편이야?,영어 선생님을 소노코가 어떻게 생각해?,소노코가 조디 선생님을 어떻게 생각해?,"흐흐.. 소노코도 맨날 배꼽티 입고 다니면서 몸매가 드러난다, 왕답답하다나 뭐라나. 그냥 질투하는 것 뿐이야"
105,조디 선생님이 영어 선생님이 된 이유는?,조디 선생님이 일본에서 영어 선생님이 된 이유는 뭐야?,테이탄 고등학교의 영어 선생님이 된 조디의 이유는?,조디 선생님이 고등학교 영어 선생님이 된 이유는?,일본 게임을 본고장에서 매일 즐길 수 있으니까 라고 말하던데? 그 선생님은 게임광이야.
106,조디 선생님이 요즘 넘버원으로 좋아하는 게임은?,조디 선생님이 넘버원으로 익사이팅한 게임은?,조디 선생님이 요즘 좋아하는 게임은?,테이탄 고교의 영어 선생님이 좋아하는 게임은?,그레이토 파이토 스피릿또! 조디 선생님이 플레이 하는 것을 보여주기도 했었지.
107,베이커의 시저라고 불리는 건달을 게임으로 이기는 사람은?,란을 게임에서 이긴 건달을 이기는 사람은?,란을 게임에서 이긴 베이커의 시저를 이긴 사람은?,비토 겐고와 상대가 되는 사람은?,하이도의 루터스라고 불리는 시미즈 다카야스! 게임잡지 기자야.
108,테이탄 고교의 새로 온 영어 선생님은?,테이탄 고교의 영어 선생님으로 온 외국인 선생님은?,테이탄 고교의 영어 선생님은?,테이탄 고교의 외국인 선생님은?,조디 센티밀리온
109,비디오 게임방에서 일어난 살인의 독은?,조디 선생님과 함께 비디오 게임방에서 목격한 살인의 독은?,비디오 게임방에서 일어난 사건의 독 이름은?,비디오 게임방에서 벌어진 사건에 쓰인 독 이름은?,테트로도 톡신! 북어독이야. 청산가리의 1/220로도 사람을 죽일 수 있는 치명적인 독이지.
110,조디선생님이 신이치를 뭐라고 불러?,조디 센티밀리온이 신이치를 어떻게 생각해?,조디가 신이치를 어떻게 생각해?,테이탄 고교의 영어 선생님이 신이치를 부르는 명은?,쿨가이! 하하..
111,캐비넷에서 발견된 모토오를 죽인 범인은?,도예교실의 캐비넷에서 발견된 시체의 범인은?,도예교실에서 일어난 살인의 범인은?,미노 선생님의 도예교실에서 일어난 사건의 범인은?,무네유키 선생님이야. 선생님은 란과 기쿠요 누나를 보조로 삼아서 아무것도 들어있지 않은 줄 알았던 사물함에 시체가 나오게 한 거야.
112,미노 선생님의 트릭은 뭐야?,미노 선생님의 범죄 트릭은?,도예교실에서 일어난 살인의 트릭은?,도예교실 살인사건의 트릭은?,"한 번 캐비넷을 열었을 때는 안에 테이프로 앞치마의 천을 고정시켜 놓아서 두번째 열었을 때 보이도록 하고, 양손으로 열면 시체가 나오도록 한 트릭이야. 넥타이 핀을 위에 고정시키고 행거에 끈에 통과시켜 앞으로 기울어지게 한 다음 왼쪽 문위까지 잡아당겨서 고정되게 하는 방법이지."
113,강도가 버스를 점령한 사건에서 조디 선생님의 활약은?,버스가 강도에게 점령당한 후 조디 선생님의 활약은?,강도에게 점령당한 버스에서 조디 선생님의 활약은?,조디 영어 선생님이 강도가 점령한 버스 안에서 했던 활약은?,범인에게 다리를 걸어서 사과하는 척하면서 토카레프의 안전 장치를 걸었고 나에게 립스틱을 전해준 것이지.
114,강도가 점령한 버스에서 뒷자석에 앉은 동료가 다른 동료에게 알려준 방법은?,동료 강도에게 버스 안에서 알려준 뒷자석 강도의 방법은?,버스 안에서 동료 강도에게 수상한 사람이 있다는 것을 어떻게 알려줘?,버스 안의 동료 강도에게 수상한 낌새가 있다는 것을 알려준 강도의 방법은?,풍선껌이야. 풍선을 불어서 백밀러를 보고 있던 범인에게 이상한 행동을 하는 승객이 있다는 걸 알려준 거야. 풍선이 터져서 입에 달라붙은 껌을 떼는 손의 방향과 그 손가락의 수로 수상한 승객 좌석 위치를 알렸지.
115,버스를 점령한 강도의 기폭장치는?,강도에게 있는 것으로 버스에 있는 폭탄을 실행하는 기폭장치는?,강도가 버스에 놓은 폭탄을 터트리기 위해 사용한 기폭장치는?,버스에 있던 강도가 폭탄을 터트리기 위해 사용한 것은?,시계야. 1시에서 멈춘 상태의 시계를 차고 있어서 그게 기폭장치라는 것을 알 수 있었지.
116,우에다 씨가 범인인 이유가 뭐야?,우에다 씨가 범인인 증거가 뭐야?,우에다 씨가 범인이라는 증거가 뭐야?,우에다 씨의 트릭은 뭐였어?,"방 배열을 바꾼 흔적, 옷을 갈아입으러 간 사이 더워하는 것, 담배를 피지 않는 우에다씨의 방에 있는 요시무라의 재떨이, 그리고 우에다의 휴대폰으로 전화한 착신 전화 기록까지. 그가 발뺌할 수 없는 증거들이 수두룩 해."
117,우에다 씨의 동기가 뭐야?,우에다 씨가 범행을 저지른 동기가 뭐야?,우에다 씨의 범행 동기는 뭐야,우에다 씨가 요시무라를 죽인 이유는 뭐야?,"도박에 손을 대서 돈이 궁해 있을 때 요시무라가 대학에서 약을 빼내서 돈으로 바꾸는 방법을 알려주었고, 급한 불은 껐지만 이후에도 계속 약을 요구하며 대학에 다 알리겠다는 협박을 했고 도둑으로 몰릴 것 같아 요시무라를 처리한 거야."
118,가노데루야의 집에 방문한 아가사 박사님과 하이바라를 시바견이 경계한 이유?,가노데루야의 집의 시바견이 아가사박사님을 싫어한 이유?,아가사 박사님의 친구의 아들인 가노데루야의 시바견이 하이바라를 경계한 이유는?,시바견이 하이바라와 아가사 박사님을 경계한 이유는?,개는 냄새로 다른 개의 성별이나 크기를 알 수 있는데 수캐는 상대가 자기보다 크다는 걸 알면 적의를 나타내. 게다가 박사님하고 하이바라는 왔다가 다시 갔기 때문에 주인에게 쫓겨났다가 다시 찾아온 주인의 적으로 생각했던 거야.
119,가노데루야의 집에서 쓰나시마 아저씨가 도일을 숨긴 장소는?,가노데루야의 집에서 도일이 숨겨진 장소는?,쓰나시마 아저씨가 도일을 숨긴 장소는?,쓰나시마 아저씨는 도일을 어디에 숨겼니?,스피커의 흡음제를 제거하고 뒷편을 열어두고 도일을 숨겨둘 준비를 했던 거야.
120,쓰나시마 아저씨가 원했던 건 뭐야?,쓰나시마 아저씨가 노린 건 뭐야?,쓰나시마 아저씨가 노린 건 어떤 보물이야?,쓰나시마 아저씨가 도일에게서 탐냈던 것은 뭐야?,도일의 목걸이에 달렸던 보석이야. 쓰나시마 아저씨는 애견가로 개를 키우는 데 사정이 어려워져서 보석을 팔아 돈을 마련하고자 했던 거지.
121,쓰나시마 아저씨가 보석을 숨긴 장소는?,쓰나시마 아저씨가 보석을 숨긴 곳은?,도일의 목걸이에 있는 보석을 숨긴 장소는?,가노데루야의 개 도일이의 보석을 숨긴 장소는?,벽시계의 시간을 조절하는 편자 뒤에서야. 시계바늘이 1시간에 1분씩 늦어지는 것을 보고 알았지. 진짜 뒤에 뭔가 붙어있다는 것을.
122,쿠사카씨를 죽인 범인은 누구야?,쿠사카씨를 살해한 범인은?,쿠사카 씨를 살해한 사람은?,쿠사카 씨 살인사건의 범인은?,도나카 씨야.
